,counter,pearson,pearson_p,spearman,spearman_p
0,rh:spt_timeouts,-0.028741673869468413,0.7513363255208272,-0.04317521790023083,0.6339804707669894
1,atu_cache_evictions,-0.007039423676445826,0.9381504005046629,0.035298190401258846,0.6971248697094029
2,atu_cache_hit_base_page_size_0,0.14021848144188387,0.12035680932767853,0.25324940991345396,0.004540839054003457
3,atu_cache_hit_derivative1_page_size_0,-0.11375625768722197,0.20839360725232056,-0.0053501180173092045,0.9529732643676687
4,lpe_net_match_priority_0,-0.1262151027570636,0.16246456192303926,0.10923682140047207,0.22715955109800637
5,lpe_net_match_overflow_0,-0.12310358108994451,0.17315774646833232,-0.011178599527930762,0.9019306983488753
6,lpe_net_match_request_0,-0.03094373764615248,0.7329779800493601,-0.027241542092840278,0.7639235518283513
7,lpe_rndzv_puts_0,0.022610548839541077,0.8031578732763306,0.039897899181555375,0.6599661676968247
8,lpe_rndzv_puts_offloaded_0,0.022610548839541077,0.8031578732763306,0.039897899181555375,0.6599661676968247
9,hni_rx_paused_0,-0.10213123447679535,0.2590153325235851,-0.23870338316286388,0.007587873141524472
10,hni_rx_paused_1,-0.02438629926178356,0.7880496578161409,0.04528088119590873,0.6175144107249604
11,hni_tx_paused_1,-0.032224611392410535,0.7223677169524612,-0.011505900865460265,0.8990742581069489
12,parbs_tarb_pi_posted_pkts,0.020632600958516125,0.8200721035722104,0.17899005348575028,0.04669499359622576
13,parbs_tarb_pi_posted_blocked_cnt,-0.016872713049873138,0.8524471497548615,0.1625428796223446,0.07128079960127442
14,parbs_tarb_pi_non_posted_pkts,-0.06111213688324115,0.5001495318380863,0.025705743509047994,0.7768741724913492
15,parbs_tarb_pi_non_posted_blocked_cnt,0.07856429229960597,0.38575777012677065,0.3499040125885129,6.78830169200312e-05
16,pct_trs_rsp_nack_drops,-0.029533169939701703,0.7447210871619961,0.005718568421838416,0.9497387383291737
17,pct_mst_hit_on_som,0.0730909077456604,0.41981472289076527,-0.14055775708235793,0.11945297533498592
18,rh:nack_resource_busy,0.21338234588696936,0.017334536164057352,-0.1735023062149027,0.05396528738794527
19,rh:nacks,0.14589423205657942,0.10591730645854942,0.0729161585349991,0.42093004186338445
20,rh:nack_sequence_error,0.1458053695046024,0.10613241876325165,0.07407442375865857,0.413569606820407
21,parbs_tarb_pi_non_posted_cong_rate,0.07722369500593752,0.3939413146300001,0.34675059008654596,7.97101443116682e-05
22,parbs_tarb_pi_posted_cong_rate,-0.01694869597176978,0.8517902589394432,0.1650731707317073,0.06692895590801858
23,rh:nack_no_target_trs,0.16777566227750537,0.06252210735413039,-0.12412591219113028,0.16958852889003012
24,rh:sct_timeouts,-0.030550839031284333,0.7362428341428914,-0.03567634541363362,0.6940412321324512
25,rh:connections_cancelled,-0.018606601814632598,0.8374832957081787,-0.0739374360092656,0.4144361791996407
26,rh:pkts_cancelled_o,-0.04295713965328353,0.6356962775660469,-0.12209312227261311,0.17673971056696042
27,rh:sct_in_use,-0.002418998420317409,0.978727682806593,-0.08788022300879636,0.33176683814966546
28,hni_tx_paused_0,-0.027339351898603276,0.7631009337393265,0.024517575824109444,0.7869357923695748
29,rh:tct_timeouts,-0.011144527159437255,0.902228129109023,0.05872312269814459,0.5170821091198039
