run_name,app_time,total_mpi_time,mpi_Allgather,mpi_Allgatherv,mpi_Allreduce,mpi_Barrier,mpi_Bcast,mpi_Comm_create,mpi_Comm_free,mpi_Comm_group,mpi_Group_free,mpi_Group_incl,mpi_Iprobe,mpi_Irecv,mpi_Isend,mpi_Recv,mpi_Scan,mpi_Send,mpi_Test,mpi_Testall,mpi_Wait,mpi_Waitall
2025-02-21_20-32-27-job36083478,3.289062e+02,2.394531e+02,3.375727e-04,7.241652e-03,2.164171e+01,4.072824e-04,1.851731e-01,2.845703e-02,1.006266e-04,1.507773e-03,2.838359e-03,1.656582e-03,1.714183e+01,4.263259e+01,4.902650e+01,4.679343e+00,3.481123e-01,2.225681e+00,6.924661e+00,2.826442e+00,1.200957e-01,9.178968e+01
2025-03-30_18-26-58-job37311403,3.292969e+02,2.398438e+02,3.375531e-04,7.475932e-03,2.193255e+01,5.795527e-04,1.884802e-01,2.967656e-02,1.037258e-04,1.504980e-03,2.835371e-03,1.661055e-03,1.724295e+01,4.264451e+01,4.910570e+01,4.658683e+00,3.615597e-01,2.227672e+00,6.994266e+00,2.836723e+00,1.201404e-01,9.162979e+01
2025-02-22_18-19-19-job36103715,3.296875e+02,2.402344e+02,3.477121e-04,7.660259e-03,2.200137e+01,3.813844e-04,1.927198e-01,2.860195e-02,1.008737e-04,1.503965e-03,2.831172e-03,1.647461e-03,1.724406e+01,4.263060e+01,4.902219e+01,4.667375e+00,3.644241e-01,2.225130e+00,6.972279e+00,2.862361e+00,1.199290e-01,9.182943e+01
2025-03-21_19-25-27-job37089700,3.296875e+02,2.406250e+02,3.445352e-04,7.661108e-03,2.228517e+01,4.725434e-04,1.971808e-01,3.164238e-02,1.024797e-04,1.504883e-03,2.829844e-03,1.649805e-03,1.733133e+01,4.263498e+01,4.901258e+01,4.651323e+00,3.692998e-01,2.224801e+00,7.018623e+00,2.856464e+00,1.199805e-01,9.171871e+01
2025-03-25_17-45-55-job37186657,3.296875e+02,2.406250e+02,3.459930e-04,7.687515e-03,2.231783e+01,6.420172e-04,2.040097e-01,3.229609e-02,1.028003e-04,1.507188e-03,2.834258e-03,1.649687e-03,1.736639e+01,4.265682e+01,4.906826e+01,4.659681e+00,3.654705e-01,2.226461e+00,7.046675e+00,2.848428e+00,1.200768e-01,9.158758e+01
2025-03-19_11-24-30-job37010111,3.300781e+02,2.417969e+02,3.470410e-04,7.625809e-03,2.243381e+01,4.146168e-04,1.950319e-01,3.237031e-02,1.023633e-04,1.510781e-03,2.843965e-03,1.658223e-03,1.738899e+01,4.288091e+01,4.929645e+01,4.700989e+00,3.761266e-01,2.240265e+00,7.053330e+00,2.867301e+00,1.207971e-01,9.230464e+01
2025-03-21_16-36-05-job37069931,3.300781e+02,2.406250e+02,3.356164e-04,7.473109e-03,2.218178e+01,6.558344e-04,1.909728e-01,3.084551e-02,1.041120e-04,1.508730e-03,2.835371e-03,1.649004e-03,1.733551e+01,4.262025e+01,4.904232e+01,4.665440e+00,3.637235e-01,2.225582e+00,7.015324e+00,2.863378e+00,1.200029e-01,9.187618e+01
2025-03-25_18-27-33-job37186935,3.300781e+02,2.410156e+02,3.452328e-04,7.659446e-03,2.242705e+01,4.571277e-04,1.966994e-01,3.252773e-02,1.015927e-04,1.504219e-03,2.826934e-03,1.646660e-03,1.738765e+01,4.260157e+01,4.899097e+01,4.682883e+00,3.829104e-01,2.224590e+00,7.053188e+00,2.863040e+00,1.200098e-01,9.192537e+01
2025-03-27_02-20-34-job37214645,3.300781e+02,2.410156e+02,3.405504e-04,7.633910e-03,2.226755e+01,3.815234e-04,1.891055e-01,3.214121e-02,1.033819e-04,1.510957e-03,2.844844e-03,1.664473e-03,1.730063e+01,4.269294e+01,4.913428e+01,4.698041e+00,3.697295e-01,2.233644e+00,7.017166e+00,2.855193e+00,1.204103e-01,9.188882e+01
2025-03-28_20-07-05-job37243029,3.300781e+02,2.406250e+02,3.283117e-04,7.429034e-03,2.210092e+01,6.132008e-04,1.950921e-01,2.853281e-02,1.013135e-04,1.505215e-03,2.836035e-03,1.654824e-03,1.720471e+01,4.270212e+01,4.912919e+01,4.675291e+00,3.568817e-01,2.229711e+00,6.951196e+00,2.838592e+00,1.202590e-01,9.206385e+01
2025-02-20_20-55-38-job36051002,3.304688e+02,2.406250e+02,3.310496e-04,7.313212e-03,2.180586e+01,4.795887e-04,1.974730e-01,2.857207e-02,1.035568e-04,1.516797e-03,2.851172e-03,1.664629e-03,1.723492e+01,4.287505e+01,4.935545e+01,4.680820e+00,3.507059e-01,2.241683e+00,6.973741e+00,2.865142e+00,1.208350e-01,9.197941e+01
2025-02-23_16-25-34-job36161243,3.304688e+02,2.410156e+02,3.681582e-04,7.767325e-03,2.271198e+01,3.987887e-04,2.016245e-01,3.372012e-02,1.028241e-04,1.501152e-03,2.826914e-03,1.649609e-03,1.751466e+01,4.255534e+01,4.895253e+01,4.691170e+00,3.854718e-01,2.225756e+00,7.116679e+00,2.884184e+00,1.200115e-01,9.173637e+01
2025-03-03_10-06-21-job36430109,3.304688e+02,2.417969e+02,3.463203e-04,7.754684e-03,2.248276e+01,4.402016e-04,2.020350e-01,3.328281e-02,1.031658e-04,1.509883e-03,2.847070e-03,1.659707e-03,1.745605e+01,4.268814e+01,4.912588e+01,4.675045e+00,3.860628e-01,2.232672e+00,7.086037e+00,2.878627e+00,1.203605e-01,9.231063e+01
2025-03-04_18-45-44-job36499148,3.304688e+02,2.410156e+02,3.585664e-04,7.654287e-03,2.249365e+01,3.680352e-04,1.979694e-01,3.173105e-02,1.017927e-04,1.505078e-03,2.829609e-03,1.649805e-03,1.739873e+01,4.265426e+01,4.906734e+01,4.664643e+00,3.783227e-01,2.228592e+00,7.066526e+00,2.856267e+00,1.201456e-01,9.197569e+01
2025-03-06_08-06-26-job36582690,3.304688e+02,2.410156e+02,3.445559e-04,7.636545e-03,2.238737e+01,5.312258e-04,1.951071e-01,3.147344e-02,9.951613e-05,1.512324e-03,2.844629e-03,1.665508e-03,1.735068e+01,4.268420e+01,4.907965e+01,4.674644e+00,3.848508e-01,2.228823e+00,7.023039e+00,2.873939e+00,1.202315e-01,9.209987e+01
2025-03-18_17-09-51-job36992778,3.304688e+02,2.410156e+02,3.488664e-04,7.662766e-03,2.238932e+01,4.476008e-04,1.914176e-01,3.187480e-02,1.056555e-04,1.506133e-03,2.832129e-03,1.653418e-03,1.734949e+01,4.270579e+01,4.911056e+01,4.671679e+00,3.693169e-01,2.229101e+00,7.024641e+00,2.860893e+00,1.201473e-01,9.190072e+01
2025-03-19_22-08-56-job37025474,3.304688e+02,2.414062e+02,3.436680e-04,7.609856e-03,2.228841e+01,3.857398e-04,1.931259e-01,3.239883e-02,1.024377e-04,1.511230e-03,2.842676e-03,1.658770e-03,1.730212e+01,4.271500e+01,4.912303e+01,4.675808e+00,3.697016e-01,2.229865e+00,6.998971e+00,2.862467e+00,1.202625e-01,9.229530e+01
2025-03-21_19-12-57-job37078647,3.304688e+02,2.414062e+02,3.477859e-04,7.703052e-03,2.267278e+01,7.218453e-04,2.001504e-01,3.286758e-02,1.011817e-04,1.502832e-03,2.825938e-03,1.647109e-03,1.739663e+01,4.258436e+01,4.902314e+01,4.674747e+00,3.720868e-01,2.224659e+00,7.061323e+00,2.858708e+00,1.198929e-01,9.197400e+01
2025-03-23_12-20-24-job37108579,3.304688e+02,2.410156e+02,3.427195e-04,7.599716e-03,2.249410e+01,4.058871e-04,1.929841e-01,3.069590e-02,1.023401e-04,1.506055e-03,2.839492e-03,1.658633e-03,1.737751e+01,4.270703e+01,4.910681e+01,4.662575e+00,3.679890e-01,2.230199e+00,7.053804e+00,2.856390e+00,1.202676e-01,9.184842e+01
2025-03-23_16-26-07-job37114602,3.304688e+02,2.410156e+02,3.507629e-04,7.699542e-03,2.245121e+01,7.996648e-04,2.001397e-01,3.266309e-02,1.018946e-04,1.509004e-03,2.835254e-03,1.653359e-03,1.734850e+01,4.269199e+01,4.906970e+01,4.671355e+00,3.736210e-01,2.227872e+00,7.031824e+00,2.858553e+00,1.201800e-01,9.197184e+01
2025-03-24_07-25-35-job37136772,3.304688e+02,2.410156e+02,3.511687e-04,7.405287e-03,2.212700e+01,8.310422e-04,1.879537e-01,3.010684e-02,1.031001e-04,1.512695e-03,2.842188e-03,1.660938e-03,1.729785e+01,4.281022e+01,4.922401e+01,4.678961e+00,3.677333e-01,2.233049e+00,6.994225e+00,2.864695e+00,1.204980e-01,9.212817e+01
2025-03-24_17-34-34-job37153372,3.304688e+02,2.410156e+02,3.477637e-04,7.721831e-03,2.247593e+01,4.389082e-04,1.993532e-01,3.219922e-02,1.010798e-04,1.503984e-03,2.832813e-03,1.657285e-03,1.736569e+01,4.264600e+01,4.904371e+01,4.672706e+00,3.688098e-01,2.227533e+00,7.059507e+00,2.842903e+00,1.200373e-01,9.185985e+01
