username,correlation,max
user_widom,0.4859373197859112,35.0
user_ychoi,0.47337202750125074,8.0
user_nkozak,0.47003493760593396,32.0
user_rkang,0.452394797402648,14.0
user_cjmundy,0.4372110469994066,12.0
JobID,0.4326546119535886,37202857.0
user_jzho,0.43184726655223327,32.0
user_liangbo,0.42569594831296526,16.0
user_shl159,0.42374990201220086,4.0
user_pw_chang,0.42374990201220086,4.0
user_pgupta,0.42374990201220086,16.0
user_cahrens,0.42374990201220086,4.0
user_co232,0.42374990201220086,8.0
user_train419,0.42374990201220086,4.0
user_kzhuang,0.42374990201220086,4.0
user_jvzqz,0.42374990201220086,2.0
user_ryk,0.42374990201220086,4.0
user_elppaman,0.42374990201220086,4.0
user_yujh,0.4237499020122007,20.0
user_kble,0.4237499020122007,20.0
user_cvaradha,0.4237499020122007,20.0
user_nberk,0.41764300178208413,36.0
user_zcecjhw,0.4166943535229765,64.0
user_kateog,0.4162141450602019,20.0
user_yujiex,0.4162141450602019,20.0
user_pouvreau,0.41313770335486266,20.0
user_ahhwang,0.41193757243978146,16.0
user_aschuetz,0.41193757243978146,16.0
user_rjacob,0.41193757243978146,16.0
user_aelabd,0.41193757243978146,16.0
user_sandaru,0.4083984436061209,8.0
user_qinkunli,0.4043956593173326,11.0
num_concurrent_jobs,0.40322246975953463,565.0
user_hamzahsp,0.4012912876981144,30.0
user_apike,0.4008840252977053,100.0
user_yxu2,0.39756438058693705,6.0
user_davidsan,0.39641339993023733,16.0
user_rjames97,0.39553738105987135,104.0
user_ruiqig,0.3934931252112709,4.0
user_joxojo,0.39279200017135374,8.0
user_tamalika,0.3918060375335412,6.0
user_dsong,0.38909920772440976,4.0
user_amell,0.3886754518595986,40.0
user_eperry,0.3846948232427222,25.0
user_munkhw,0.3796272237092231,32.0
user_joenic,0.3787140417461869,9.0
user_amalvert,0.37724546377277046,12.0
user_zeynepba,0.3742626062306899,8.0
user_uscms,-0.3738881024659342,520.0
user_mkuroda,0.3722195051543221,24.0
user_bsoriano,0.3682380817997226,32.0
user_jweber,0.36696514276552883,224.0
user_bzhu,-0.3615934000864561,16.0
user_zkyuan,0.36066790276113303,112.0
user_hatj,0.3569420922075726,144.0
user_linguo,0.3566027179546168,72.0
user_adityat,0.3560531093043801,2.0
user_zeyuli,0.355228465240563,20.0
user_ryne,0.354205492552786,64.0
user_zhan391,0.35406744939192913,40.0
user_lalakos,0.34671880941952804,20.0
