run_name,app_time,total_mpi_time,mpi_Allgather,mpi_Allgatherv,mpi_Allreduce,mpi_Barrier,mpi_Bcast,mpi_Comm_create,mpi_Comm_free,mpi_Comm_group,mpi_Group_free,mpi_Group_incl,mpi_Iprobe,mpi_Irecv,mpi_Isend,mpi_Recv,mpi_Scan,mpi_Send,mpi_Test,mpi_Testall,mpi_Wait,mpi_Waitall
amg-3112832,3.730469e+02,2.324219e+02,9.169531e-05,2.429926e-03,2.865477e+01,2.240000e-03,1.974690e-01,3.595000e-02,3.530270e-05,1.270000e-03,2.040000e-03,1.480000e-03,2.250192e+01,3.243945e+01,4.029579e+01,4.811038e+00,5.989300e-01,1.815001e+00,8.232047e+00,2.742721e+00,9.280471e-02,8.960751e+01
amg-3123054,3.730469e+02,2.324219e+02,9.420742e-05,2.467251e-03,2.871980e+01,1.954516e-03,2.000537e-01,3.565859e-02,3.686213e-05,1.285078e-03,2.045400e-03,1.508721e-03,2.258736e+01,3.243245e+01,4.041879e+01,4.794569e+00,6.213855e-01,1.822283e+00,8.325741e+00,2.740674e+00,9.267026e-02,8.868331e+01
amg-3185334,3.730469e+02,2.324219e+02,9.830625e-05,2.649002e-03,2.865568e+01,1.760000e-03,1.975276e-01,3.570000e-02,3.708428e-05,1.280000e-03,2.050000e-03,1.505000e-03,2.248971e+01,3.242829e+01,4.041511e+01,4.801022e+00,5.973140e-01,1.815172e+00,8.287041e+00,2.725241e+00,9.255432e-02,8.962632e+01
amg-3187376,3.730469e+02,2.324219e+02,9.793809e-05,2.526544e-03,2.837530e+01,2.030000e-03,2.011100e-01,3.525000e-02,3.688857e-05,1.275000e-03,2.035000e-03,1.525000e-03,2.304482e+01,3.227032e+01,4.024375e+01,4.795999e+00,6.210750e-01,1.814492e+00,8.521643e+00,2.764874e+00,9.256997e-02,8.904239e+01
amg-3207405,3.730469e+02,2.324219e+02,9.401133e-05,2.429196e-03,2.848917e+01,2.840000e-03,1.991808e-01,3.590000e-02,3.611566e-05,1.285000e-03,2.035000e-03,1.520000e-03,2.317565e+01,3.226456e+01,4.042342e+01,4.791276e+00,5.987280e-01,1.829317e+00,8.578189e+00,2.775679e+00,9.230007e-02,8.915222e+01
amg-3225703,3.730469e+02,2.324219e+02,9.496484e-05,2.502748e-03,2.866577e+01,2.111797e-03,1.972782e-01,3.545459e-02,3.655883e-05,1.274990e-03,2.045723e-03,1.481875e-03,2.282983e+01,3.246409e+01,4.040533e+01,4.805527e+00,6.322808e-01,1.815285e+00,8.375675e+00,2.771659e+00,9.273572e-02,8.907745e+01
amg-3237343,3.730469e+02,2.304688e+02,9.874512e-05,2.631448e-03,2.848441e+01,1.910000e-03,1.974942e-01,3.610000e-02,3.699650e-05,1.290000e-03,2.045000e-03,1.530000e-03,2.256180e+01,3.250885e+01,4.040309e+01,4.826466e+00,6.208650e-01,1.828507e+00,8.306152e+00,2.746785e+00,9.206653e-02,8.861196e+01
amg-3198975,3.750000e+02,2.343750e+02,9.382969e-05,2.491358e-03,2.883300e+01,2.120000e-03,2.026692e-01,3.595000e-02,3.588352e-05,1.290000e-03,2.045000e-03,1.475000e-03,2.268235e+01,3.260803e+01,4.051105e+01,4.808307e+00,6.281560e-01,1.829193e+00,8.363082e+00,2.752246e+00,9.226893e-02,9.118086e+01
amg-3201083,3.750000e+02,2.343750e+02,9.909570e-05,2.691808e-03,2.904720e+01,1.910000e-03,1.992344e-01,3.610000e-02,3.731436e-05,1.290000e-03,2.040000e-03,1.460000e-03,2.254876e+01,3.247593e+01,4.049140e+01,4.817339e+00,6.030240e-01,1.828114e+00,8.244050e+00,2.747627e+00,9.205096e-02,9.117875e+01
amg-3204036,3.750000e+02,2.343750e+02,1.006848e-04,2.742546e-03,2.935397e+01,2.250000e-03,1.996904e-01,3.535000e-02,3.795727e-05,1.285000e-03,2.040000e-03,1.495000e-03,2.270695e+01,3.261552e+01,4.049049e+01,4.842268e+00,5.860736e-01,1.828206e+00,8.315019e+00,2.768900e+00,9.198868e-02,9.064158e+01
amg-3082784,3.769531e+02,2.363281e+02,9.272656e-05,2.441402e-03,2.951835e+01,2.240000e-03,1.890394e-01,3.490000e-02,3.586832e-05,1.275000e-03,2.035000e-03,1.510000e-03,2.255127e+01,3.245650e+01,3.962891e+01,4.770201e+00,6.163040e-01,1.815539e+00,8.236010e+00,2.733731e+00,9.179576e-02,9.322628e+01
amg-3111968,3.769531e+02,2.363281e+02,9.560254e-05,2.569176e-03,2.984797e+01,2.100000e-03,1.972026e-01,3.580000e-02,3.626895e-05,1.280000e-03,2.045000e-03,1.460000e-03,2.267057e+01,3.267639e+01,4.049678e+01,4.800539e+00,6.099660e-01,1.814941e+00,8.350762e+00,2.767320e+00,9.267951e-02,9.217997e+01
amg-3114817,3.769531e+02,2.363281e+02,8.722422e-05,2.641455e-03,2.906437e+01,2.020000e-03,1.812835e-01,2.625000e-02,3.817184e-05,1.280000e-03,2.035000e-03,1.500000e-03,2.243309e+01,3.255653e+01,4.055349e+01,4.815186e+00,5.456220e-01,1.809521e+00,8.141423e+00,2.837100e+00,9.194197e-02,9.323819e+01
amg-3178907,3.769531e+02,2.363281e+02,9.703750e-05,2.615361e-03,2.970800e+01,1.980000e-03,2.023956e-01,3.720000e-02,3.677895e-05,1.275000e-03,2.050000e-03,1.540000e-03,2.273013e+01,3.259418e+01,4.045155e+01,4.812948e+00,6.095540e-01,1.815615e+00,8.346168e+00,2.744858e+00,9.261691e-02,9.222634e+01
amg-3214791,3.769531e+02,2.363281e+02,9.721250e-05,2.601302e-03,3.019480e+01,2.070000e-03,2.006880e-01,3.575000e-02,3.688867e-05,1.290000e-03,2.040000e-03,1.520000e-03,2.266907e+01,3.248897e+01,4.048461e+01,4.838710e+00,5.979200e-01,1.829121e+00,8.304409e+00,2.763920e+00,9.217552e-02,9.165786e+01
amg-3280477,3.769531e+02,2.363281e+02,9.148828e-05,2.370891e-03,2.957876e+01,1.930000e-03,1.774200e-01,2.590000e-02,3.815625e-05,1.300000e-03,2.065000e-03,1.475000e-03,2.249635e+01,3.268444e+01,4.071277e+01,4.810581e+00,5.440880e-01,1.828881e+00,8.169585e+00,2.827631e+00,9.302653e-02,9.166580e+01
amg-3108874,3.789062e+02,2.382812e+02,9.681875e-05,2.573909e-03,2.956132e+01,1.780000e-03,1.938808e-01,3.540000e-02,3.665281e-05,1.285000e-03,2.040000e-03,1.470000e-03,2.265135e+01,3.270057e+01,4.052976e+01,4.819918e+00,6.147440e-01,1.828931e+00,8.306601e+00,2.798071e+00,9.203539e-02,9.374890e+01
amg-3111509,3.789062e+02,2.382812e+02,8.445781e-05,2.437338e-03,2.975165e+01,2.120000e-03,1.794816e-01,2.635000e-02,3.749750e-05,1.280000e-03,2.040000e-03,1.525000e-03,2.280108e+01,3.250213e+01,4.051769e+01,4.857089e+00,5.419872e-01,1.808190e+00,8.291983e+00,2.881081e+00,9.192640e-02,9.318825e+01
amg-3116057,3.789062e+02,2.382812e+02,9.738828e-05,2.644332e-03,3.026203e+01,2.210000e-03,1.982195e-01,3.480000e-02,3.677172e-05,1.295000e-03,2.050000e-03,1.465000e-03,2.275481e+01,3.266006e+01,4.051562e+01,4.847622e+00,6.035340e-01,1.821961e+00,8.322807e+00,2.789676e+00,9.212881e-02,9.274439e+01
amg-3117517,3.789062e+02,2.382812e+02,8.567070e-05,2.612740e-03,2.985151e+01,1.920000e-03,1.788609e-01,2.610000e-02,3.740365e-05,1.285000e-03,2.030000e-03,1.470000e-03,2.283733e+01,3.253795e+01,4.052863e+01,4.843692e+00,5.525208e-01,1.808375e+00,8.336787e+00,2.863163e+00,9.191084e-02,9.370920e+01
amg-3118893,3.789062e+02,2.382812e+02,9.461563e-05,2.566181e-03,3.025448e+01,2.080000e-03,1.977280e-01,3.470000e-02,3.677594e-05,1.285000e-03,2.030000e-03,1.470000e-03,2.279442e+01,3.253540e+01,4.062115e+01,4.829190e+00,5.979200e-01,1.822677e+00,8.344248e+00,2.801325e+00,9.217552e-02,9.322774e+01
amg-3128809,3.789062e+02,2.382812e+02,1.026000e-04,2.863201e-03,3.052880e+01,1.960000e-03,2.013264e-01,3.610000e-02,3.807000e-05,1.275000e-03,2.040000e-03,1.445000e-03,2.266217e+01,3.259399e+01,4.055182e+01,4.841502e+00,6.258240e-01,1.815631e+00,8.326632e+00,2.790088e+00,9.239782e-02,9.321860e+01
amg-3182019,3.789062e+02,2.382812e+02,9.682207e-05,2.629072e-03,3.033376e+01,2.590000e-03,1.963448e-01,3.515000e-02,3.720920e-05,1.280000e-03,2.045000e-03,1.530000e-03,2.263065e+01,3.280940e+01,4.051448e+01,4.810126e+00,6.091420e-01,1.828773e+00,8.338771e+00,2.761392e+00,9.208210e-02,9.269502e+01
amg-3189899,3.789062e+02,2.382812e+02,9.370918e-05,2.507106e-03,2.979785e+01,1.870000e-03,1.990800e-01,3.545000e-02,3.612680e-05,1.290000e-03,2.050000e-03,1.505000e-03,2.311294e+01,3.254801e+01,4.039944e+01,4.826319e+00,5.788725e-01,1.828528e+00,8.502655e+00,2.801232e+00,9.225337e-02,9.275333e+01
amg-3193212,3.789062e+02,2.363281e+02,9.898711e-05,2.533813e-03,3.046199e+01,2.010000e-03,2.030560e-01,3.675000e-02,3.668094e-05,1.275000e-03,2.045000e-03,1.445000e-03,2.322041e+01,3.252341e+01,4.038582e+01,4.828131e+00,6.097600e-01,1.815643e+00,8.598379e+00,2.793629e+00,9.264821e-02,9.165189e+01
amg-3206712,3.789062e+02,2.363281e+02,8.979727e-05,2.433567e-03,3.042845e+01,2.240000e-03,1.946680e-01,3.470000e-02,3.525984e-05,1.285000e-03,2.045000e-03,1.500000e-03,2.304404e+01,3.264319e+01,4.054363e+01,4.833760e+00,5.899390e-01,1.828477e+00,8.470857e+00,2.788810e+00,9.288295e-02,9.116248e+01
amg-3220582,3.789062e+02,2.382812e+02,9.854844e-05,2.674353e-03,3.090113e+01,2.016855e-03,1.989061e-01,3.586191e-02,3.752225e-05,1.284580e-03,2.045996e-03,1.513672e-03,2.300842e+01,3.235168e+01,4.038404e+01,4.844753e+00,6.142845e-01,1.829453e+00,8.437323e+00,2.809688e+00,9.204199e-02,9.220164e+01
amg-3224326,3.789062e+02,2.382812e+02,1.023273e-04,2.850317e-03,2.989066e+01,2.080000e-03,1.893579e-01,3.455000e-02,3.809102e-05,1.290000e-03,2.045000e-03,1.535000e-03,2.314102e+01,3.264370e+01,4.047983e+01,4.856932e+00,6.134960e-01,1.814185e+00,8.480925e+00,2.869536e+00,9.184856e-02,9.215936e+01
amg-3227494,3.789062e+02,2.382812e+02,9.340430e-05,2.533102e-03,3.074737e+01,1.981191e-03,2.015527e-01,3.576328e-02,3.619232e-05,1.283975e-03,2.050361e-03,1.478604e-03,2.341711e+01,3.257364e+01,4.055153e+01,4.878667e+00,6.316040e-01,1.822415e+00,8.612437e+00,2.867967e+00,9.276980e-02,9.135012e+01
amg-3233881,3.789062e+02,2.382812e+02,9.533262e-05,2.551956e-03,3.055890e+01,1.716832e-03,2.041051e-01,3.563330e-02,3.667941e-05,1.290596e-03,2.040967e-03,1.444863e-03,2.290005e+01,3.242846e+01,4.052271e+01,4.794565e+00,6.240820e-01,1.823557e+00,8.411772e+00,2.778413e+00,9.223778e-02,9.323117e+01
amg-3244162,3.789062e+02,2.382812e+02,1.023822e-04,2.301122e-03,3.056231e+01,1.786426e-03,2.001339e-01,3.651689e-02,3.495814e-05,1.299180e-03,2.049229e-03,1.505811e-03,2.296874e+01,3.233582e+01,4.036467e+01,4.828053e+00,6.399190e-01,1.828488e+00,8.436470e+00,2.783182e+00,9.250454e-02,9.280900e+01
amg-2937475,3.808594e+02,2.402344e+02,1.103652e-04,2.902417e-03,2.926467e+01,1.280000e-03,2.023014e-01,3.375000e-02,3.844541e-05,1.325000e-03,2.140000e-03,1.465000e-03,2.298404e+01,3.341219e+01,4.334610e+01,4.834205e+00,6.015960e-01,1.885842e+00,8.478896e+00,2.786937e+00,9.465862e-02,9.216884e+01
amg-3074238,3.808594e+02,2.382812e+02,9.825762e-05,2.573187e-03,3.056851e+01,2.418047e-03,1.980853e-01,3.627031e-02,3.748547e-05,1.279883e-03,2.044990e-03,1.601855e-03,2.285390e+01,3.250850e+01,3.960167e+01,4.828163e+00,6.020284e-01,1.815629e+00,8.398489e+00,2.754004e+00,9.205848e-02,9.405198e+01
amg-3090510,3.808594e+02,2.382812e+02,9.371445e-05,2.557803e-03,3.066715e+01,1.910000e-03,2.012460e-01,3.575000e-02,3.666900e-05,1.280000e-03,2.035000e-03,1.505000e-03,2.262521e+01,3.276453e+01,3.974661e+01,4.829229e+00,6.037380e-01,1.809367e+00,8.320411e+00,2.738831e+00,9.168733e-02,9.317627e+01
amg-3103786,3.808594e+02,2.402344e+02,9.647168e-05,2.669777e-03,3.076767e+01,2.020000e-03,1.980520e-01,3.590000e-02,3.706084e-05,1.275000e-03,2.045000e-03,1.480000e-03,2.288583e+01,3.271156e+01,4.051272e+01,4.864816e+00,6.030240e-01,1.815238e+00,8.400361e+00,2.833199e+00,9.252302e-02,9.371092e+01
amg-3110188,3.808594e+02,2.382812e+02,9.452344e-05,2.607199e-03,3.074795e+01,2.700000e-03,1.975944e-01,3.565000e-02,3.668203e-05,1.275000e-03,2.040000e-03,1.545000e-03,2.330604e+01,3.270850e+01,4.043568e+01,4.843370e+00,6.093480e-01,1.815709e+00,8.600882e+00,2.833859e+00,9.258561e-02,9.271737e+01
amg-3121330,3.808594e+02,2.402344e+02,9.647168e-05,2.649261e-03,2.991216e+01,1.910000e-03,1.857624e-01,3.375000e-02,3.692988e-05,1.295000e-03,2.050000e-03,1.475000e-03,2.277658e+01,3.266708e+01,4.049974e+01,4.815852e+00,5.578788e-01,1.815467e+00,8.316940e+00,2.812837e+00,9.211324e-02,9.479218e+01
amg-3130272,3.808594e+02,2.382812e+02,9.115020e-05,2.433169e-03,3.049399e+01,1.920000e-03,1.987220e-01,3.575000e-02,3.541955e-05,1.275000e-03,2.030000e-03,1.480000e-03,2.285341e+01,3.282654e+01,4.057101e+01,4.828992e+00,6.109960e-01,1.816701e+00,8.381714e+00,2.771857e+00,9.283600e-02,9.325765e+01
amg-3176708,3.808594e+02,2.382812e+02,9.491367e-05,2.571334e-03,3.020937e+01,1.850000e-03,2.010948e-01,3.680000e-02,3.634082e-05,1.275000e-03,2.040000e-03,1.475000e-03,2.311484e+01,3.269761e+01,4.053866e+01,4.853627e+00,5.902340e-01,1.815410e+00,8.480528e+00,2.822183e+00,9.283600e-02,9.375765e+01
amg-3197175,3.808594e+02,2.402344e+02,9.388672e-05,2.556279e-03,3.192305e+01,1.950000e-03,1.901925e-01,3.490000e-02,3.678652e-05,1.285000e-03,2.035000e-03,1.500000e-03,2.289981e+01,3.275490e+01,4.051891e+01,4.842173e+00,5.984250e-01,1.822305e+00,8.401434e+00,2.787412e+00,9.225337e-02,9.271871e+01
amg-3211119,3.808594e+02,2.402344e+02,9.654512e-05,2.589334e-03,3.096896e+01,2.290898e-03,1.999290e-01,3.579629e-02,3.704240e-05,1.278057e-03,2.045176e-03,1.509297e-03,2.294569e+01,3.247378e+01,4.040957e+01,4.835511e+00,6.531228e-01,1.816066e+00,8.426793e+00,2.787845e+00,9.260145e-02,9.430932e+01
amg-3230783,3.808594e+02,2.382812e+02,9.708340e-05,2.626911e-03,3.015463e+01,2.460000e-03,1.957865e-01,3.575000e-02,3.704842e-05,1.285000e-03,2.040000e-03,1.475000e-03,2.276435e+01,3.274783e+01,4.050901e+01,4.854055e+00,6.151600e-01,1.827962e+00,8.335801e+00,2.836070e+00,9.256997e-02,9.423650e+01
amg-3232205,3.808594e+02,2.402344e+02,9.647598e-05,2.588988e-03,3.094867e+01,2.157266e-03,1.967776e-01,3.571396e-02,3.645240e-05,1.289951e-03,2.045361e-03,1.567275e-03,2.295070e+01,3.264868e+01,4.053184e+01,4.866199e+00,6.329844e-01,1.829120e+00,8.419680e+00,2.849419e+00,9.217552e-02,9.334658e+01
