run_name,app_time,total_mpi_time,mpi_Allgather,mpi_Allreduce,mpi_Barrier,mpi_Bcast,mpi_Irecv,mpi_Isend,mpi_Recv_init,mpi_Request_free,mpi_Send_init,mpi_Start,mpi_Test,mpi_Wait
milc_40.64-3106731,2.929688e+02,1.322266e+02,5.659900e-01,2.340085e+01,4.498779e+00,2.053595e-02,1.940560e-02,1.273360e-02,8.965970e-02,1.729712e-01,2.032557e-01,2.673791e+00,9.804043e+01,2.553000e+00
milc_40.64-3100712,2.988281e+02,1.324219e+02,6.516700e-01,2.431125e+01,4.420640e+00,1.787649e-02,1.928512e-02,1.214720e-02,8.722550e-02,1.730721e-01,2.032557e-01,2.782836e+00,9.706660e+01,2.466123e+00
milc_40.64-2965738,3.066406e+02,1.310547e+02,6.644430e-01,1.788231e+01,5.670080e+00,4.352363e-02,2.012280e-02,5.202400e-03,7.761094e-02,1.596015e-01,7.923630e-02,2.406091e+00,1.016559e+02,2.487775e+00
milc_40.64-3040654,3.125000e+02,1.365234e+02,6.305396e-01,2.208371e+01,5.796390e+00,5.189685e-02,2.081113e-02,8.503745e-03,7.824426e-02,1.610059e-01,8.068468e-02,2.661547e+00,1.021670e+02,2.534117e+00
milc_40.64-2989986,3.164062e+02,1.412109e+02,1.030450e+00,2.388796e+01,4.595922e+00,2.060916e-01,2.032978e-02,8.095857e-03,2.065384e-01,4.155776e-01,2.086311e-01,5.460121e+00,1.027260e+02,2.504879e+00
milc_40.64-2992558,3.164062e+02,1.414062e+02,9.284440e-01,2.256680e+01,4.616524e+00,6.763593e-02,2.020907e-02,7.549970e-03,2.067710e-01,4.150741e-01,2.088766e-01,5.455582e+00,1.042379e+02,2.577143e+00
milc_40.64-2977015,3.183594e+02,1.425781e+02,5.994320e-01,2.493577e+01,4.510247e+00,7.844479e-02,2.020814e-02,8.750271e-03,2.063775e-01,4.136561e-01,2.086391e-01,5.146625e+00,1.038460e+02,2.606539e+00
milc_40.64-2973842,3.222656e+02,1.527344e+02,6.014480e-01,2.786134e+01,4.435376e+00,5.947579e-02,2.020904e-02,8.880390e-03,2.060929e-01,4.166568e-01,2.080395e-01,5.071343e+00,1.111829e+02,2.594418e+00
milc_40.64-2931392,3.671875e+02,1.888672e+02,5.181700e-01,7.963183e+01,3.878689e+00,3.539405e-02,5.883064e-02,1.479200e-02,7.679826e-02,1.586997e-01,7.923630e-02,3.382801e+00,9.895196e+01,1.980537e+00
milc_40.64-2931189,3.691406e+02,1.935547e+02,5.092700e-01,8.004398e+01,3.970611e+00,5.164899e-02,5.931056e-02,1.431840e-02,7.679826e-02,1.585931e-01,7.842362e-02,3.385132e+00,1.030496e+02,2.006643e+00
milc_40.64-2901827,3.710938e+02,1.943359e+02,6.432300e-01,8.112013e+01,3.955788e+00,6.291434e-02,5.775064e-02,1.503440e-02,7.679826e-02,1.587483e-01,8.086166e-02,3.391079e+00,1.028804e+02,1.997504e+00
milc_40.64-2936304,3.730469e+02,1.724609e+02,7.634280e-01,2.468081e+01,9.578354e+00,1.400718e-01,2.036328e-02,7.674400e-03,7.639192e-02,1.581490e-01,9.711526e-02,3.413066e+00,1.299939e+02,3.526382e+00
milc_40.64-2929244,3.750000e+02,2.011719e+02,7.072400e-01,8.377692e+01,4.147092e+00,2.951994e-02,5.935064e-02,1.510080e-02,7.639192e-02,1.582416e-01,7.923630e-02,3.371217e+00,1.076299e+02,2.161847e+00
milc_40.64-3000589,3.750000e+02,1.761719e+02,1.111620e+00,2.779850e+01,4.744076e+00,4.561061e-02,2.020889e-02,7.650704e-03,2.060707e-01,4.147919e-01,2.083669e-01,7.240893e+00,1.317389e+02,2.554653e+00
milc_40.64-2897781,3.789062e+02,2.109375e+02,1.041210e+00,8.561637e+01,4.171390e+00,1.583822e-01,6.091064e-02,1.507440e-02,7.639192e-02,1.584949e-01,7.842362e-02,3.371308e+00,1.131712e+02,2.182132e+00
milc_40.64-3022802,3.789062e+02,1.777344e+02,6.274380e-01,3.233777e+01,4.697246e+00,1.283673e-01,2.024160e-02,8.404800e-03,7.679826e-02,1.592965e-01,8.004898e-02,3.525893e+00,1.335897e+02,2.588531e+00
