,counter,pearson,pearson_p,spearman,spearman_p
0,atu_cache_evictions,0.290008162097056,0.0017488631912188101,0.25470120086673015,0.0062427628282242156
1,atu_cache_hit_base_page_size_0,0.25858277625330445,0.005471277520743954,0.041898705980032806,0.658040559612381
2,atu_cache_hit_derivative1_page_size_0,0.15789417405222572,0.09338393962116924,0.5472266661266479,2.97878698288437e-10
3,lpe_net_match_priority_0,-0.6178822023515524,2.4185856561545377e-13,-0.6247139588100687,1.1033629673702484e-13
4,lpe_net_match_overflow_0,0.6250063643898678,1.0664576328242737e-13,0.630084445434479,5.873073850764023e-14
5,lpe_net_match_request_0,-0.15261306539247124,0.10501453312606383,0.062287679846069546,0.5103062753709382
6,lpe_rndzv_puts_0,0.07052001958390565,0.45592193303282014,0.1090756656567707,0.2479982062396039
7,lpe_rndzv_puts_offloaded_0,0.07052001958390565,0.45592193303282014,0.1090756656567707,0.2479982062396039
8,hni_rx_paused_0,-0.1769231611861605,0.05968844393154386,-0.15278345922520808,0.10462234982432538
9,hni_rx_paused_1,-0.20699096579099155,0.02712657033674064,-0.19534233814625063,0.037268570702893446
10,hni_tx_paused_0,0.21355242451332693,0.022526440075425987,0.23370527125817625,0.012330308618705961
11,hni_tx_paused_1,0.013931600024278543,0.8830399807660121,-0.028930155322897475,0.7599477958987808
12,parbs_tarb_pi_posted_pkts,0.6214506700009024,1.609025354385102e-13,0.6445272473218445,1.0124335172714911e-14
13,parbs_tarb_pi_posted_blocked_cnt,-0.26674339426483806,0.004120016267957293,-0.2509831716652154,0.007070817455827349
14,parbs_tarb_pi_non_posted_pkts,0.34847923437093226,0.00014495860711663498,0.3850023288309269,2.340782022635472e-05
15,parbs_tarb_pi_non_posted_blocked_cnt,-0.349784415906775,0.0001363206124182394,-0.358700714849841,8.895033095154784e-05
16,pct_mst_hit_on_som,,,,
17,rh:nack_resource_busy,,,,
18,rh:nacks,-0.05229571247274467,0.5805440407939185,-0.031698385881056876,0.7377756486337722
19,rh:nack_sequence_error,0.06358606698098224,0.5015124131301296,0.11697833299502654,0.21516684591638435
20,parbs_tarb_pi_non_posted_cong_rate,-0.34002287805360265,0.00021445014251197285,-0.3544561673518155,0.00010916863282310106
21,parbs_tarb_pi_posted_cong_rate,-0.27062514639460633,0.0035890552944375423,-0.26087361535813375,0.005056902305651155
22,rh:sct_timeouts,0.13655243464235678,0.14741899019716279,0.14402946181626952,0.12630181208986715
23,rh:spt_timeouts,0.09304031342554632,0.3248262369306108,0.12448913097055951,0.18694464468927863
24,pct_trs_rsp_nack_drops,0.04104425876836748,0.6645891357088075,0.0327479025991262,0.7294243805170639
25,rh:pkts_cancelled_o,0.13655243464235678,0.14741899019716279,0.14402946181626952,0.12630181208986715
26,rh:nack_no_target_trs,-0.1521081392999818,0.10618344775125381,-0.15532273987714523,0.0989128115455882
27,rh:tct_timeouts,0.05009211538576914,0.5966142453398771,0.057451246970991715,0.5437493278248702
28,rh:nack_no_matching_conn,0.028585559854207885,0.7627219247203547,0.030455780304390848,0.7477029256750841
29,rh:sct_in_use,0.09859061135780316,0.29666877409304476,0.08112977102132152,0.39083822423035053
30,rh:connections_cancelled,0.037148121274576715,0.6947643541919942,0.015497319219979556,0.8700048167419171
