JobID,app_total_time_ms,app_start,app_end,num_concurrent_jobs,total_concurrent_nodes,concurrent_nodes_in_same_group,min_group_ratio,max_group_ratio,avg_group_ratio,user_alloc_dict,user_alloc_dict_trimmed
3116056,772401.77,2025-03-03 08:50:25,2025-03-03 08:50:41,64,7094,2055,0.5859375,0.6796875,0.6174879807692307,"{'mdriemer': 64, 'emin': 64, 'rahul29': 300, 'hyk1997': 48, 'ngoav': 200, 'gopeshh': 32, 'mdesco': 8, 'sschnauck': 130, 'rajan1': 864, 'lzhang23': 408, 'junqi': 16, 'vwslz': 1024, 'fagbemisa': 100, 'mvansch': 96, 'tmaier': 400, 'wendyrw': 640, 'spencermoore': 225, 'ozier': 2, 'mlynch': 324, 'sohailt': 500, 'tjelly': 280, 'xlopez': 500, 'keshprad': 128, 'maxidalinger': 72, 'kartickr': 16, 'mcamacho': 46, 'vaibhav_016': 128, 'syeom': 144, 'sbistany': 6, 'mjseneca': 5, 'glaser': 2, 'thomasmalkus': 60, 'alz': 160, 'coen': 100, 'xf9': 2}","{'mdriemer': 64, 'emin': 64, 'rahul29': 300, 'hyk1997': 32, 'ngoav': 200, 'sschnauck': 98, 'rajan1': 864, 'lzhang23': 408, 'junqi': 16, 'vwslz': 1024, 'fagbemisa': 100, 'tmaier': 400, 'wendyrw': 640, 'spencermoore': 225, 'mlynch': 324, 'sohailt': 500, 'tjelly': 280, 'xlopez': 500, 'keshprad': 128, 'maxidalinger': 36, 'mcamacho': 46, 'vaibhav_016': 128, 'syeom': 144, 'sbistany': 6, 'mjseneca': 5, 'thomasmalkus': 60, 'alz': 128, 'coen': 100}"
3152211,767506.1599999999,2025-03-08 23:35:36,2025-03-08 23:35:53,44,9037,2107,0.7890625,0.9296875,0.8663651315789473,"{'chulwoo': 16, 'emin': 64, 'ngoav': 200, 'kmonika': 9, 'vsharma5': 8, 'mpw2': 200, 'rahul29': 150, 'thickling': 30, 'tajinder': 14, 'mliska': 32, 'lzhang23': 408, 'suyashb4': 10, 'sschnauck': 18, 'smitha': 2, 'ozier': 4, 'spancer': 0, 'lhatashita3': 0, 'priebe': 64, 'mlynch': 324, 'swarnava': 16, 'fangjun': 20, 'mjseneca': 52, 'leonotis': 192, 'sbistany': 20, 'yuzhuang': 643, 'tmaier': 100, 'sreejith': 32, 'acmetest': 2, 'prajwal': 2, 'xf9': 2, 'palashmr': 256, 'daludot': 3}","{'emin': 64, 'ngoav': 200, 'mpw2': 200, 'rahul29': 150, 'thickling': 30, 'tajinder': 4, 'mliska': 32, 'lzhang23': 408, 'sschnauck': 18, 'ozier': 2, 'spancer': 0, 'lhatashita3': 0, 'priebe': 64, 'mlynch': 324, 'swarnava': 16, 'fangjun': 20, 'mjseneca': 50, 'leonotis': 192, 'sbistany': 20, 'yuzhuang': 643, 'tmaier': 100, 'sreejith': 32, 'acmetest': 2, 'prajwal': 2, 'xf9': 2, 'palashmr': 256, 'daludot': 3}"
3074236,779734.01,2025-02-20 13:29:48,2025-02-20 13:29:49,71,9470,1658,0.890625,0.953125,0.9252232142857143,"{'emin': 64, 'ddoshi': 32, 'gopeshh': 32, 'yuzhuang': 27, 'xyan11': 32, 'rahul29': 350, 'sreejith': 128, 'rbrady': 16, 'langx': 4, 'priebe': 45, 'jyw': 70, 'syamamoto': 2, 'khann': 4, 'ahmed97': 200, 'lhatashita3': 256, 'liangstein': 200, 'syeom': 226, 'spencermoore': 225, 'xlopez': 4000, 'mvansch': 192, 'pschoenh': 175, 'maxidalinger': 126, 'arodas': 1976, 'phdias': 8, 'vaibhav_016': 64, 'kavanase': 10, 'fangjun': 43, 'blackst': 8, 'dmt-lp': 170, 'lukedaq': 95, 'xf9': 2, 'yoonh': 2, 'hyuan': 100, 'coen': 15, 'kurihana': 4, 'rjmorelock': 406, 'mayanka_med116_mde': 30, 'zhuze': 24, 'mcamacho': 16, 'nsaini': 40, 'mrieth': 32, 'mdesco': 4, 'cdutra': 15}","{'emin': 64, 'ddoshi': 32, 'gopeshh': 32, 'yuzhuang': 27, 'xyan11': 32, 'rahul29': 350, 'sreejith': 128, 'rbrady': 8, 'langx': 4, 'priebe': 45, 'jyw': 70, 'syamamoto': 2, 'ahmed97': 200, 'lhatashita3': 256, 'liangstein': 200, 'syeom': 226, 'spencermoore': 225, 'xlopez': 4000, 'mvansch': 192, 'pschoenh': 175, 'maxidalinger': 110, 'arodas': 1976, 'vaibhav_016': 32, 'kavanase': 10, 'fangjun': 43, 'blackst': 8, 'dmt-lp': 170, 'lukedaq': 95, 'hyuan': 100, 'coen': 15, 'kurihana': 4, 'rjmorelock': 406, 'mayanka_med116_mde': 30, 'zhuze': 24, 'mcamacho': 16, 'nsaini': 40, 'mrieth': 32, 'cdutra': 15}"
3128807,777816.4600000001,2025-03-06 16:53:02,2025-03-06 16:53:19,81,9518,6204,0.9375,0.984375,0.969375,"{'chulwoo': 16, 'hyk1997': 32, 'jyw': 30, 'kavanase': 120, 'kmonika': 9, 'mdesco': 8, 'pnathan6': 32, 'waidmann': 8, 'rahul29': 850, 'kimh310': 374, 'htchen': 54, 'tjelly': 1030, 'yoonh': 4, 'lhatashita3': 0, 'dvelascogonzalez': 256, 'priebe': 64, 'taylorm': 0, 'mjseneca': 2, 'zingale': 64, 'mvansch': 204, 'sudip002': 4, 'thickling': 4, 'maxidalinger': 66, 'fangjun': 20, 'keshprad': 128, 'muraligm': 2, 'kurihana': 24, 'kringel': 8, 'sajaldash': 4, 'shku': 32, 'feizaguirre': 4, 'navratil': 0, 'hanby': 11, 'junqi': 32, 'hyuan': 10, 'prajwal': 2, 'glaser': 16, 'swarnava': 4, 'junsik': 864, 'yuzhuang': 3, 'htv2008': 3}","{'chulwoo': 16, 'hyk1997': 32, 'jyw': 30, 'kavanase': 88, 'waidmann': 8, 'rahul29': 850, 'kimh310': 374, 'htchen': 54, 'tjelly': 1030, 'lhatashita3': 0, 'dvelascogonzalez': 256, 'priebe': 64, 'taylorm': 0, 'zingale': 64, 'mvansch': 204, 'sudip002': 4, 'maxidalinger': 60, 'fangjun': 20, 'keshprad': 128, 'kurihana': 12, 'kringel': 4, 'sajaldash': 2, 'shku': 32, 'feizaguirre': 4, 'navratil': 0, 'hanby': 11, 'junqi': 32, 'hyuan': 10, 'glaser': 16, 'swarnava': 4, 'junsik': 864}"
3233880,766566.34,2025-03-24 15:31:55,2025-03-24 15:32:48,129,7537,2965,0.5078125,0.9765625,0.7019412878787878,"{'ngoav': 600, 'kmonika': 11, 'waidmann': 20, 'priebe': 64, 'emin': 64, 'tajinder': 8, 'jubchoi': 64, 'jtay621': 200, 'zhangp': 2, 'harshit': 8, 'margaridarosa': 171, 'spencermoore': 225, 'wendyrw': 128, 'haoshen.yang': 0, 'thickling': 31, 'nsaini': 300, 'samreen': 256, 'atown': 400, 'thomasmalkus': 15, 'mjseneca': 66, 'cosdis': 350, '7zx': 10, 'shku': 96, 'maxidalinger': 110, 'syeom': 64, '1eh': 412, 'ayushkaushal': 32, 'cagonzal': 2, 'jennabr': 77, 'mdesco': 36, 'jschuchart': 4, 'vermaasj': 32, 'arindam48': 10, 'kyrylobohachov': 140, 'sfilig': 64, 'gabrielepadovani': 4, 'acharyas': 16, 'ebelli': 1920, 'jtavares': 180, 'dean316': 78, 'kurihana': 4, 'jdtun': 25, 'sokyay': 30, 'rzamora_med126_mde': 4, 'patrickfan': 4, 'yuzhuang': 60, 'pdoak': 100, 'alz': 16}","{'ngoav': 600, 'kmonika': 11, 'waidmann': 20, 'priebe': 64, 'emin': 64, 'tajinder': 8, 'jubchoi': 64, 'jtay621': 184, 'zhangp': 2, 'margaridarosa': 171, 'spencermoore': 225, 'wendyrw': 128, 'haoshen.yang': 0, 'thickling': 27, 'nsaini': 300, 'samreen': 256, 'atown': 400, 'thomasmalkus': 15, 'mjseneca': 50, 'cosdis': 350, 'shku': 96, 'maxidalinger': 64, 'syeom': 64, '1eh': 412, 'mdesco': 32, 'vermaasj': 32, 'kyrylobohachov': 140, 'sfilig': 64, 'acharyas': 8, 'ebelli': 1920, 'jtavares': 180, 'dean316': 40, 'kurihana': 4, 'jdtun': 25, 'sokyay': 30, 'rzamora_med126_mde': 4, 'yuzhuang': 30, 'pdoak': 100, 'alz': 16}"
3298444,775694.9899999999,2025-04-10 15:19:29,2025-04-10 15:20:21,73,9521,7931,0.859375,0.9921875,0.9681396484375,"{'melilly': 4, 'smitha': 2, 'wentaoma': 60, 'dbollweg': 40, 'thickling': 72, 'waidmann': 4, 'mdesco': 8, 'istabrak': 64, 'chulwoo': 16, 'kakkapriyesh': 5, 'gopeshh': 32, 'houjun': 0, 'ozier': 2, 'cosdis': 50, 'zcshr0863': 96, 'toby13': 0, 'pauljanson002': 8, 'bcobb1': 32, 'janastos': 4, 'kavanase': 16, 'keshprad': 128, 'mrieth': 16, 'harshit': 8, 'pravitahallur': 8, 'maxidalinger': 16, 'irl1': 16, 'cagonzal': 4, 'zhangp': 40, 'mjseneca': 94, 'tajinder': 4, 'leonotis': 64, 'handih': 2, 'sneopane': 72, 'muraligm': 8, 'htchen': 58, 'xf9': 16, 'ebelli': 3864, 'nafinm': 64, 'rosendod': 2, 'emin': 16, 'yuzhuang': 334, 'jschuchart': 4, 'glaser': 10, 'weinberg': 12, 'mayanka_med116_mde': 10, 'htv2008': 4, 'aaronalt': 8, 'elbriggs': 24, 'ghu4': 4}","{'wentaoma': 60, 'dbollweg': 40, 'thickling': 72, 'mdesco': 8, 'istabrak': 64, 'kakkapriyesh': 5, 'gopeshh': 32, 'houjun': 0, 'cosdis': 50, 'zcshr0863': 96, 'toby13': 0, 'pauljanson002': 8, 'bcobb1': 32, 'kavanase': 16, 'keshprad': 128, 'mrieth': 16, 'pravitahallur': 8, 'maxidalinger': 16, 'irl1': 16, 'cagonzal': 2, 'zhangp': 32, 'mjseneca': 80, 'leonotis': 64, 'sneopane': 72, 'htchen': 54, 'xf9': 16, 'ebelli': 3864, 'nafinm': 64, 'rosendod': 2, 'yuzhuang': 334, 'jschuchart': 4, 'glaser': 10, 'weinberg': 12, 'mayanka_med116_mde': 10, 'htv2008': 4, 'aaronalt': 4, 'elbriggs': 24, 'ghu4': 2}"
3255511,767808.1200000001,2025-03-30 00:29:24,2025-03-30 00:30:19,69,8889,2361,0.6484375,0.9609375,0.8019701086956522,"{'emin': 64, 'lzhang23': 968, 'mdesco': 24, 'jtay621': 8, 'chulwoo': 16, 'kgoc': 284, 'tdzanic': 92, 'boneill': 8, 'mbuehlmann': 16, 'kyrylobohachov': 320, 'jubchoi': 64, 'eromero': 1818, 'harshit': 8, 'ayushkaushal': 144, 'tajinder': 4, 'junqi': 96, 'smitha': 2, 'wentaoma': 188, 'mjseneca': 2, 'gwilkie': 0, 'dvelascogonzalez': 256, 'thomasmalkus': 15, 'carns': 17, 'palashmr': 128, 'sauetest': 2000, 'moore279': 807, 'htchen': 54, 'kannanr': 2, 'spencermoore': 225, 'maxidalinger': 18, 'sajaldash': 4, 'mliska': 20, 'yuzhuang': 87, 'sneopane': 72, 'handih': 12, 'xf9': 16, 'gabrielepadovani': 4, 'acmetest': 2}","{'emin': 64, 'lzhang23': 968, 'mdesco': 12, 'kgoc': 284, 'tdzanic': 92, 'boneill': 8, 'mbuehlmann': 16, 'kyrylobohachov': 320, 'jubchoi': 64, 'eromero': 1818, 'ayushkaushal': 112, 'junqi': 64, 'wentaoma': 188, 'gwilkie': 0, 'dvelascogonzalez': 256, 'thomasmalkus': 15, 'carns': 17, 'palashmr': 128, 'sauetest': 2000, 'moore279': 807, 'htchen': 54, 'spencermoore': 225, 'maxidalinger': 12, 'sajaldash': 4, 'mliska': 20, 'yuzhuang': 60, 'sneopane': 72, 'xf9': 16, 'acmetest': 2}"
3246169,769117.16,2025-03-27 16:45:42,2025-03-27 16:46:32,123,9553,3059,0.828125,0.9921875,0.9559375,"{'kmonika': 11, 'lzhang23': 968, 'emin': 64, 'mdesco': 24, 'harshit': 8, 'waidmann': 23, 'monojoy': 64, 'wentaoma': 60, 'jtay621': 8, 'halx': 2, 'enzhi': 512, 'thickling': 8, 'khanakb': 192, 'eromero': 4353, 'mjseneca': 12, 'spencermoore': 225, 'ozier': 4, 'kavanase': 36, 'kgoc': 100, 'kartickr': 12, 'zcshr0863': 216, 'kannanr': 2, 'dean316': 62, 'keshprad': 64, 'fangjun': 43, 'vaibhav_016': 64, 'jubchoi': 16, 'cosdis': 100, 'bcobb1': 2, 'tmaier': 2000, 'priebe': 64, 'thomasmalkus': 15, 'maxidalinger': 12, 'nafinm': 2, 'muraligm': 2, 'zhangp': 2, 'wolf': 120, 'pinaster': 2, 'widm288': 12, 'gabrielepadovani': 4, 'yuzhuang': 39, 'cagonzal': 2, 'mcamacho': 2, 'jtavares': 2, 'mrieth': 16, 'acmetest': 2}","{'kmonika': 11, 'lzhang23': 968, 'emin': 64, 'mdesco': 20, 'harshit': 8, 'waidmann': 23, 'monojoy': 64, 'wentaoma': 60, 'halx': 2, 'enzhi': 512, 'thickling': 8, 'khanakb': 192, 'eromero': 4353, 'mjseneca': 2, 'spencermoore': 225, 'ozier': 4, 'kavanase': 22, 'kgoc': 100, 'kartickr': 12, 'zcshr0863': 216, 'dean316': 48, 'keshprad': 64, 'fangjun': 43, 'vaibhav_016': 64, 'jubchoi': 16, 'cosdis': 100, 'bcobb1': 2, 'tmaier': 2000, 'priebe': 64, 'thomasmalkus': 15, 'maxidalinger': 12, 'nafinm': 2, 'zhangp': 2, 'wolf': 120, 'pinaster': 2, 'widm288': 12, 'gabrielepadovani': 4, 'yuzhuang': 39, 'cagonzal': 2, 'mcamacho': 2, 'mrieth': 16}"
3197174,777598.19,2025-03-14 17:00:25,2025-03-14 17:00:40,73,9087,2614,0.8359375,0.9765625,0.9282670454545454,"{'emin': 64, 'jyw': 30, 'mdesco': 36, 'kincaidkc': 16, 'kavanase': 6, 'deveshawasthi10': 224, 'jubchoi': 256, 'glaser': 64, 'junsik': 432, 'yuzhuang': 194, 'tejasvaidhya': 128, 'waidmann': 4, 'mliska': 32, 'xlopez': 50, 'mlynch': 972, 'mjseneca': 2, 'haoshen.yang': 64, 'tajinder': 3, 'nichols': 0, 'rahul29': 60, 'sauetest': 504, 'bsoriano': 32, 'tadie2': 12, 'cdutra': 40, 'pauljanson002': 40, 'ebelli': 384, 'cagonzal': 4, 'maxidalinger': 18, 'cosdis': 100, 'junqi': 64, 'jimyzhan': 52, 'akashi': 2, 'sokyay': 40, 'kurihana': 4, 'sbistany': 20, 'hyuan': 10, 'bcobb1': 16, 'pdoak': 1000, 'sajaldash': 4, 'palashmr': 8}","{'emin': 64, 'jyw': 30, 'mdesco': 36, 'kincaidkc': 16, 'kavanase': 6, 'deveshawasthi10': 224, 'jubchoi': 256, 'glaser': 64, 'junsik': 432, 'yuzhuang': 194, 'tejasvaidhya': 128, 'waidmann': 4, 'xlopez': 50, 'mlynch': 972, 'haoshen.yang': 64, 'nichols': 0, 'rahul29': 60, 'sauetest': 504, 'bsoriano': 32, 'tadie2': 12, 'cdutra': 40, 'pauljanson002': 40, 'ebelli': 384, 'cagonzal': 4, 'maxidalinger': 12, 'cosdis': 100, 'junqi': 64, 'jimyzhan': 52, 'akashi': 2, 'sokyay': 40, 'kurihana': 4, 'pdoak': 1000}"
3296124,780371.4299999999,2025-04-09 15:42:58,2025-04-09 15:43:49,121,9208,7640,0.890625,0.953125,0.9326171875,"{'melilly': 4, 'ozier': 2, 'smitha': 2, 'thickling': 4, 'kmonika': 10, 'waidmann': 28, 'istabrak': 64, 'chulwoo': 16, 'kakkapriyesh': 5, 'gopeshh': 32, 'mrieth': 16, 'harshit': 8, 'ayushkaushal': 16, 'kincaidkc': 8, 'wenchang': 64, 'irl1': 16, 'brandejs': 123, 'htchen': 2, 'almaeder': 0, 'spencermoore': 210, 'hagertnl': 3136, 'yuzhuang': 456, 'shku': 256, 'samreen': 4, 'detar': 32, 'pinaster': 2, 'janastos': 146, 'sabrina.desoto': 66, 'zhangp': 8, 'muraligm': 16, 'yoonh': 16, 'rosendod': 2, 'furchesak': 78, 'weinberg': 16, 'zingale': 240, 'vinodkl': 2, 'kavanase': 4, 'mayanka_med116_mde': 2}","{'thickling': 4, 'waidmann': 24, 'istabrak': 64, 'kakkapriyesh': 5, 'mrieth': 16, 'ayushkaushal': 16, 'wenchang': 64, 'irl1': 16, 'brandejs': 123, 'almaeder': 0, 'spencermoore': 210, 'hagertnl': 3136, 'yuzhuang': 456, 'shku': 256, 'detar': 32, 'janastos': 124, 'sabrina.desoto': 66, 'muraligm': 16, 'yoonh': 16, 'furchesak': 78, 'weinberg': 16, 'zingale': 240, 'vinodkl': 2, 'kavanase': 4, 'mayanka_med116_mde': 2}"
