username,correlation,max
user_jimyzhan,0.4720760320177615,2352.0
user_oantepar,0.43041892549669314,2.0
user_vasq546_lrn068_mde,0.43041892549669314,8.0
user_gunaratnecs,0.43041892549669214,10.0
user_arasdogan,0.43041892549669064,130.0
user_hsu_andy,0.3844371531327814,2121.0
user_dfytanidis,0.360848333428824,30.0
concurrent_nodes_in_same_group,0.34685924022112513,8084.0
user_sneopane,0.30625926469018755,2963.0
user_ddv0,0.30306492447840244,3456.0
user_syamamoto,0.28752842667106426,6.0
user_glaser,0.26780513451853116,512.0
user_sabrina.desoto,0.23775402355939895,72.0
user_gopeshh,0.22770465580383856,32.0
user_bebex,0.22244496115676338,256.0
user_sudip002,0.21296356806047995,4.0
user_doraemonho,0.2005532335940129,512.0
user_arodas,0.1987848526426386,2064.0
user_tdk23,0.19816833068573486,8.0
user_ddoshi,0.19744885849961366,32.0
user_liangstein,0.1950871222861486,200.0
user_suyashb4,0.1936984366776432,25.0
user_mlynch,-0.19234505078531808,3888.0
user_sreejith,0.19175756711790146,192.0
user_emin,-0.18914487125758786,96.0
user_jschuchart,0.1868851914995735,68.0
user_waidmann,-0.18534825259127571,40.0
user_novarios,-0.1851124017863145,1882.0
user_cuw,0.18374744748762054,4.0
user_bikash,0.18042187581436536,8.0
user_amalbavera,0.18042187581436536,512.0
user_lzhang23,-0.17893737446469749,1376.0
user_janastos,0.1769355239110358,124.0
user_hyuan,0.17161236259058488,150.0
user_xyan11,0.16926983126451722,64.0
user_kgoc,-0.1663027428414279,1104.0
max_group_ratio,0.16607725569663404,1.140625
user_mjeacocke,-0.16318146231915084,64.0
user_coen,0.1624941066689329,300.0
avg_group_ratio,0.15934132449186075,1.0279017857142858
user_ulebreuilly,-0.15699360427796408,512.0
user_vie,-0.15699360427796324,581.0
user_swarnava,-0.1562952612471967,64.0
user_wb9,0.15101928412924867,2.0
user_yli697,0.15101928412924867,2.0
user_furchesak,0.14958131579009182,299.0
user_weinberg,0.14588084029338627,16.0
user_reubendb,-0.14460452067847515,44.0
user_kyrylobohachov,-0.1431987445815475,320.0
user_aflorenzon,0.1414551101754747,4.0
user_nkaaz,0.1414551101754747,2.0
user_lentz,0.1414551101754747,432.0
user_morning,-0.1413018661808044,1152.0
user_kannanr,-0.14005754774970902,2.0
user_tmaier,-0.13826090772782781,4000.0
user_muraligm,0.13714191777049284,16.0
user_smitha,0.13685526820759378,4.0
min_group_ratio,0.13677648485545899,0.9609375
user_gabrielepadovani,0.13631700272699912,4.0
user_fzabaleta,0.13520027245978725,92.0
user_mliska,0.13404592904066057,1232.0
user_harshit,-0.13273949668451795,8.0
user_pauljanson002,-0.13234146114637022,40.0
user_kayahan,0.13176620024986144,3072.0
user_aprokop,-0.1310398218688377,2.0
user_adaa,0.12998507874976753,4.0
user_irl1,0.1290039194121813,22.0
user_pinaster,0.12528976313344892,64.0
user_mrieth,0.12415920438184316,32.0
user_hagen,-0.12277765531515479,1000.0
user_jtavares,-0.11719146840479447,180.0
user_candy,-0.11554541575188217,240.0
user_eichsta,-0.11539810098389335,10.0
user_leonotis,0.11488673627164038,384.0
user_ahmed97,0.11247513122798912,600.0
user_navratil,-0.11217255581071595,512.0
user_dean316,-0.11028698893226897,72.0
user_sbistany,-0.1098867454208703,20.0
user_phdias,0.10949157690674798,8.0
user_kalyang,-0.10937955533840087,128.0
user_mpetersen,0.10645889275440837,4.0
user_arnoldjr,-0.10622434700408051,185.0
user_rahul29,-0.10567511820847704,1430.0
user_istabrak,0.10460386809084858,64.0
user_vinodkl,0.10332080107057443,2.0
user_wenchang,0.10332080107057443,64.0
user_brandejs,0.1032389503145427,123.0
user_atsaris,-0.10318371901934784,32.0
user_khanakb,0.10266134082311353,192.0
user_elbriggs,0.10183751805530422,24.0
user_rosendod,0.10183751805530405,2.0
user_ghu4,0.10183751805530405,2.0
user_yhuang2,0.10081416617194026,2.0
user_brandao,0.09922732114936589,400.0
user_hagertnl,0.09720800024851732,3136.0
user_dmt-lp,0.09674750496090515,170.0
user_vsharma5,-0.09637418392994004,16.0
user_rayasare,-0.09608650729966585,2789.0
user_carns,-0.09552557627462241,17.0
user_maxidalinger,0.09509021062663801,110.0
user_ozier,-0.09459929273363436,4.0
user_blackst,0.09428120236709515,8.0
user_rzamora_med126_mde,0.09414016528138516,200.0
