run_name,app_time,total_mpi_time,mpi_Allgather,mpi_Allreduce,mpi_Barrier,mpi_Bcast,mpi_Irecv,mpi_Isend,mpi_Recv_init,mpi_Request_free,mpi_Send_init,mpi_Start,mpi_Test,mpi_Wait
2025-03-30_05-13-17-job37279449,2.023438e+02,1.128906e+02,4.172002e-02,2.707174e+01,1.134974e+00,5.531596e-02,1.839855e-03,3.697496e-03,1.443510e-02,3.419054e-02,1.530271e-02,2.089451e+00,8.075847e+01,1.688323e+00
2025-01-07_08-50-07-job34636157,2.082031e+02,1.152344e+02,2.208505e-02,2.356312e+01,8.550175e-01,1.592418e-02,1.576580e-03,6.297251e-03,1.818308e-02,3.754256e-02,1.880621e-02,2.564303e+00,8.648294e+01,1.598433e+00
2025-04-09_11-07-41-job37604634,2.082031e+02,1.113281e+02,5.244759e-02,2.282904e+01,9.713256e-01,5.441826e-02,1.734501e-03,3.663006e-03,1.435861e-02,3.038708e-02,1.481434e-02,2.083654e+00,8.361762e+01,1.648813e+00
2025-01-12_04-27-06-job34742304,2.085938e+02,1.132812e+02,3.971188e-02,2.641800e+01,7.912026e-01,1.347425e-02,1.676434e-03,6.361166e-03,1.821112e-02,3.814629e-02,1.884346e-02,2.565013e+00,8.185696e+01,1.609688e+00
2025-03-30_18-26-58-job37296753,2.101562e+02,1.132812e+02,7.634920e-02,2.492823e+01,8.021023e-01,5.526451e-02,1.706153e-03,3.534030e-03,1.437142e-02,3.042050e-02,1.488482e-02,2.076720e+00,8.372919e+01,1.646306e+00
2025-01-10_00-16-03-job34679548,2.109375e+02,1.167969e+02,3.273982e-02,2.687016e+01,1.322514e+00,1.605888e-02,1.669637e-03,6.054932e-03,1.822633e-02,3.768609e-02,1.880541e-02,2.565335e+00,8.424758e+01,1.593232e+00
2025-01-12_05-31-55-job34762777,2.113281e+02,1.183594e+02,2.935635e-02,2.571828e+01,8.587591e-01,1.698748e-02,1.568899e-03,6.435069e-03,1.817567e-02,3.767364e-02,1.870850e-02,2.565701e+00,8.739767e+01,1.663098e+00
2025-04-06_04-06-42-job37494383,2.125000e+02,1.160156e+02,8.641748e-02,2.549777e+01,1.018335e+00,3.551975e-02,1.716462e-03,4.779788e-03,1.444451e-02,3.121692e-02,1.495210e-02,2.087952e+00,8.543958e+01,1.691795e+00
2025-01-04_22-58-15-job34583340,2.128906e+02,1.199219e+02,3.470766e-02,2.673954e+01,8.787069e-01,1.401094e-02,1.669740e-03,6.366970e-03,1.826999e-02,3.775821e-02,1.890873e-02,2.574293e+00,8.788442e+01,1.625646e+00
2025-04-02_04-43-00-job37395779,2.128906e+02,1.167969e+02,4.775059e-02,2.569000e+01,1.298643e+00,8.269841e-02,1.638663e-03,3.680563e-03,1.440006e-02,3.081594e-02,1.492207e-02,2.085432e+00,8.596259e+01,1.691758e+00
2025-01-08_02-05-47-job34643452,2.132812e+02,1.207031e+02,2.679541e-02,2.659931e+01,7.501563e-01,1.643066e-02,1.559545e-03,6.247815e-03,1.821372e-02,3.800301e-02,1.881542e-02,2.570038e+00,8.918303e+01,1.641672e+00
2025-01-01_02-58-30-job34458688,2.136719e+02,1.210938e+02,2.856482e-02,2.852432e+01,9.179859e-01,1.583603e-02,1.550834e-03,6.229440e-03,1.819630e-02,3.768210e-02,1.883004e-02,2.568512e+00,8.714539e+01,1.637396e+00
2025-01-03_07-02-12-job34501146,2.136719e+02,1.210938e+02,2.598498e-02,2.664134e+01,1.075301e+00,1.715240e-02,1.541054e-03,6.296264e-03,1.816066e-02,3.769784e-02,1.874014e-02,2.565465e+00,8.900025e+01,1.632050e+00
2024-12-31_17-42-55-job34448176,2.140625e+02,1.214844e+02,2.642850e-02,2.864569e+01,1.046170e+00,1.467363e-02,1.582451e-03,6.069023e-03,1.819690e-02,3.769224e-02,1.880481e-02,2.566368e+00,8.728213e+01,1.624433e+00
2025-01-12_05-18-41-job34755744,2.140625e+02,1.210938e+02,2.673495e-02,2.772010e+01,8.482945e-01,1.866226e-02,1.637091e-03,6.200471e-03,1.821933e-02,3.764347e-02,1.880501e-02,2.569951e+00,8.818903e+01,1.598878e+00
2025-01-15_03-10-00-job34807418,2.144531e+02,1.214844e+02,2.692049e-02,2.966322e+01,9.522457e-01,1.413448e-02,1.663503e-03,6.133641e-03,1.823314e-02,3.771673e-02,1.883445e-02,2.569366e+00,8.642974e+01,1.646430e+00
2025-01-25_05-39-56-job35212995,2.144531e+02,1.207031e+02,6.623286e-02,2.718503e+01,1.062978e+00,4.158292e-02,1.564547e-03,6.363721e-03,1.813403e-02,3.806841e-02,1.873473e-02,2.572196e+00,8.796699e+01,1.694095e+00
2025-01-06_09-47-36-job34595148,2.148438e+02,1.218750e+02,3.039783e-02,2.873632e+01,1.038498e+00,1.612250e-02,1.589323e-03,6.091237e-03,1.823835e-02,3.791810e-02,1.885367e-02,2.567169e+00,8.792409e+01,1.616129e+00
2025-01-10_00-17-20-job34687707,2.148438e+02,1.222656e+02,2.527943e-02,2.857195e+01,9.279545e-01,1.598666e-02,1.615517e-03,5.972249e-03,1.821172e-02,3.762907e-02,1.886028e-02,2.565547e+00,8.849957e+01,1.643242e+00
2025-04-07_18-54-56-job37529383,2.148438e+02,1.191406e+02,6.976923e-02,2.646753e+01,8.891311e-01,5.139462e-02,1.687675e-03,5.431759e-03,1.439145e-02,3.334244e-02,1.539342e-02,2.091640e+00,8.774881e+01,1.699036e+00
2025-04-04_14-26-09-job37460197,2.152344e+02,1.191406e+02,3.373156e-02,2.679454e+01,1.165467e+00,8.367974e-02,1.633258e-03,3.829264e-03,1.441567e-02,3.198387e-02,1.488082e-02,2.085729e+00,8.719413e+01,1.665793e+00
2025-01-03_17-25-20-job34539623,2.160156e+02,1.230469e+02,2.316510e-02,2.939334e+01,1.216465e+00,1.531222e-02,1.663652e-03,5.909609e-03,1.819149e-02,3.768343e-02,1.880061e-02,2.563631e+00,8.803655e+01,1.614732e+00
2025-01-05_00-59-51-job34589837,2.160156e+02,1.234375e+02,2.785064e-02,3.041006e+01,1.014415e+00,1.479290e-02,1.597354e-03,6.140034e-03,1.823254e-02,3.782210e-02,1.880882e-02,2.568600e+00,8.780024e+01,1.643921e+00
2025-04-03_23-54-46-job37415948,2.160156e+02,1.199219e+02,7.184000e-02,2.796884e+01,1.135336e+00,3.216129e-02,1.785478e-03,3.739058e-03,1.435120e-02,3.032948e-02,1.479812e-02,2.083811e+00,8.678067e+01,1.674701e+00
2025-01-03_08-44-05-job34512000,2.164062e+02,1.230469e+02,2.642126e-02,2.997302e+01,8.931125e-01,1.628703e-02,1.543990e-03,6.064892e-03,1.828781e-02,3.783309e-02,1.888631e-02,2.578621e+00,8.795786e+01,1.634436e+00
2025-04-03_08-50-38-job37409195,2.164062e+02,1.207031e+02,8.479212e-02,2.795364e+01,9.849415e-01,6.615356e-02,1.738009e-03,5.669536e-03,1.436321e-02,3.861738e-02,1.542445e-02,2.099701e+00,8.761923e+01,1.668669e+00
2025-04-04_22-06-56-job37474087,2.171875e+02,1.207031e+02,8.152173e-02,2.919929e+01,9.949852e-01,7.556501e-02,1.661547e-03,4.772167e-03,1.437983e-02,3.121475e-02,1.502739e-02,2.082577e+00,8.648430e+01,1.678977e+00
2025-01-10_13-19-42-job34713506,2.175781e+02,1.250000e+02,2.811368e-02,3.008100e+01,1.400558e+00,1.536592e-02,1.776866e-03,5.908373e-03,1.826138e-02,3.775518e-02,1.887249e-02,2.570012e+00,8.915535e+01,1.696911e+00
2025-03-29_15-32-34-job37256011,2.175781e+02,1.210938e+02,1.199534e-01,3.054256e+01,1.044962e+00,5.002912e-02,1.742358e-03,3.665091e-03,1.440606e-02,3.049092e-02,1.485819e-02,2.088349e+00,8.555500e+01,1.693659e+00
2025-04-02_17-15-05-job37400055,2.175781e+02,1.207031e+02,3.616038e-02,3.070719e+01,9.336347e-01,2.601444e-02,1.664373e-03,4.433523e-03,1.439925e-02,3.264286e-02,1.585756e-02,2.093380e+00,8.497390e+01,1.701798e+00
2025-01-07_00-06-45-job34602686,2.179688e+02,1.246094e+02,3.591337e-02,3.229775e+01,7.137288e-01,1.405022e-02,1.633864e-03,6.394983e-03,1.831984e-02,3.780301e-02,1.888390e-02,2.570964e+00,8.712938e+01,1.623067e+00
2025-03-29_04-28-15-job37243035,2.183594e+02,1.218750e+02,3.218062e-02,3.077925e+01,7.936402e-01,4.399252e-02,1.664269e-03,3.892022e-03,1.441988e-02,3.039579e-02,1.495290e-02,2.084429e+00,8.650413e+01,1.672750e+00
