counter,stat_type,pearson,pearson_p,spearman,spearman_p
rh:spt_timeouts,max,0.04656685540172445,0.7061100624917023,0.42253689706516095,0.00033143873354290706
atu_cache_evictions,max,-0.07454615732454302,0.5457319097477056,-0.1215632008896363,0.32338813356793905
atu_cache_hit_base_page_size_0,max,0.35618005800847713,0.0028720326301126427,0.1930373706913005,0.11475207753840422
atu_cache_hit_derivative1_page_size_0,max,-0.0969229275296549,0.43170183885787305,0.12436538534946748,0.312275258523145
lpe_net_match_priority_0,max,0.17352439507724068,0.15702426845423129,0.3185127926319086,0.008117182365776882
lpe_net_match_overflow_0,max,0.1556984147185077,0.20484557759756755,0.21746972430776407,0.07484046155559737
lpe_net_match_request_0,max,0.250431416331412,0.039420427521434015,-0.17967706225903726,0.14260834589117796
lpe_rndzv_puts_0,max,,,,
lpe_rndzv_puts_offloaded_0,max,,,,
hni_rx_paused_0,max,-0.09674040683150895,0.4325737193943908,-0.024659312134977282,0.8417885679493087
hni_rx_paused_1,max,-0.1807119543501574,0.1402844070405007,-0.06516013283963812,0.5975521514753881
hni_tx_paused_1,max,-0.13517196349233737,0.27174872581770404,-0.053746612207504665,0.6633419078540141
parbs_tarb_pi_posted_pkts,max,0.33976043191490357,0.004587687104623674,-0.060846661831507415,0.6220768135955129
parbs_tarb_pi_posted_blocked_cnt,max,-0.1064841229936381,0.3874385707310294,0.04168416230866129,0.7357322171468191
parbs_tarb_pi_non_posted_pkts,max,-0.27663532883907666,0.02239127799038134,-0.09688132228881167,0.4319004947358638
parbs_tarb_pi_non_posted_blocked_cnt,max,-0.00801429804868652,0.9482827928781881,0.19483146925220446,0.11135468268093303
pct_trs_rsp_nack_drops,max,0.07587624619963697,0.5385686735242963,0.4452486613729787,0.00014203695216995118
pct_mst_hit_on_som,max,0.12731143929493638,0.30086023787655186,0.013829060590611147,0.9108801471521455
rh:nack_resource_busy,max,0.0035256513387441936,0.9772359873107651,0.01394880226662456,0.9101116694894766
rh:nacks,max,0.03533568615805183,0.7748224912520008,0.29088410465536996,0.016105843482442202
rh:nack_sequence_error,max,0.03629286541411345,0.7688902037048826,0.293496206638395,0.015135611963018531
rh:nack_no_target_trs,max,0.2013404905166283,0.09967674063515392,0.18954514615645798,0.12159295828951375
rh:sct_timeouts,max,-0.02111829515359593,0.8642738458348616,-0.04045802063793988,0.7432336405660582
hni_tx_paused_0,max,-0.015613503810653927,0.8994367753305342,-0.15180724700332038,0.21653185685021073
rh:pkts_cancelled_o,max,-0.021118295153595937,0.8642738458348616,-0.04045802063793988,0.7432336405660582
parbs_tarb_pi_non_posted_cong_rate,max,-0.007772053236647383,0.949843982254071,0.19483146925220446,0.11135468268093303
parbs_tarb_pi_posted_cong_rate,max,-0.10837779521411595,0.3790044069720432,0.0399664083673703,0.7462480265963418
