counter,stat_type,pearson,pearson_p,spearman,spearman_p
atu_cache_evictions,mean,0.06683973622031561,0.5176071119887182,-0.14721283964740484,0.15234374171414974
atu_cache_hit_base_page_size_0,mean,-0.009408393284506746,0.92751047023161,-0.1721316200892294,0.09354489071709628
atu_cache_hit_derivative1_page_size_0,mean,-0.06931059165356127,0.5022115804453396,0.13260987520347262,0.19775207715885387
lpe_net_match_priority_0,mean,-0.06612559343533668,0.5221011645331979,0.30183125339121,0.0028023831467915514
lpe_net_match_overflow_0,mean,-0.09009306386406989,0.382694772095418,-0.34126424308193165,0.000667370488547449
lpe_net_match_request_0,mean,0.12009778592981935,0.24380738657350778,-0.11181497558328812,0.2780932369128426
lpe_rndzv_puts_0,mean,-0.06925030767523216,0.5025843429088213,-0.11932919835500987,0.24685996374479233
lpe_rndzv_puts_offloaded_0,mean,-0.06925030767523216,0.5025843429088213,-0.11932919835500987,0.24685996374479233
hni_rx_paused_0,mean,-0.11277079080441405,0.2739797444091664,-0.2921730873575692,0.0038707252103345764
hni_rx_paused_1,mean,-0.05783211200359975,0.5756958481192399,0.016589799240368963,0.8725439975734751
hni_tx_paused_1,mean,0.02488192610147728,0.8098374166796637,0.25529028757460664,0.012062822265549413
parbs_tarb_pi_posted_pkts,mean,-0.06923300591608553,0.5026913539041512,-0.08145686380900706,0.43013043354565106
parbs_tarb_pi_posted_blocked_cnt,mean,-0.05687799333092558,0.5820217694961705,0.22163591969614757,0.029991671326773953
parbs_tarb_pi_non_posted_pkts,mean,-0.06923443412635594,0.5026825200066531,-0.08018176885512751,0.43740779232457994
parbs_tarb_pi_non_posted_blocked_cnt,mean,0.052541048751416575,0.6111708479909901,-0.237316874660879,0.019905417544603756
pct_mst_hit_on_som,mean,-0.06925020198111485,0.5025849965886067,-0.1166250127923619,0.25780900600016293
rh:nack_resource_busy,mean,-0.06925020198111485,0.5025849965886067,-0.1166250127923619,0.25780900600016293
rh:nacks,mean,-0.07472783030140195,0.46931033444680575,-0.15763567740311626,0.12505849773592767
rh:nack_sequence_error,mean,0.07639084776929025,0.459450704063132,-0.08340824896480901,0.41912831686642305
rh:sct_timeouts,mean,0.16724354895433255,0.10338227775994076,0.2556131845006402,0.011951062315045767
rh:spt_timeouts,mean,0.11651478716137229,0.2582622212984019,0.25501161005102435,0.012160008803668998
rh:pkts_cancelled_o,mean,0.16724354895433255,0.10338227775994076,0.2556131845006402,0.011951062315045767
hni_tx_paused_0,mean,0.006972914105869192,0.9462424336971473,0.007430334926137647,0.9427217385395845
rh:nack_no_target_trs,mean,-0.04902027890167827,0.6352914743810834,-0.16475597045270174,0.10869008908778502
rh:sct_in_use,mean,0.08955395804232884,0.3855601704485125,0.10694144562122089,0.29970806553483476
parbs_tarb_pi_non_posted_cong_rate,mean,0.05254239736284737,0.6111616855988391,-0.237316874660879,0.019905417544603756
parbs_tarb_pi_posted_cong_rate,mean,-0.056895217899211405,0.5819072858559378,0.22163591969614757,0.029991671326773953
