Node,GPU,Time
nid002060,3,0.264836
nid002057,1,0.26805
nid002653,3,0.271289
nid002945,1,0.268531
nid002660,0,0.270936
nid002064,3,0.268963
nid001377,3,0.267965
nid001381,0,0.2703
nid002949,3,0.270612
nid001381,3,0.26639
nid002656,3,0.271369
nid002061,0,0.272191
nid002061,1,0.269148
nid002656,1,0.269892
nid002944,2,0.273267
nid002944,3,0.270499
nid002060,0,0.269688
nid001377,1,0.269909
nid002057,3,0.271297
nid002653,1,0.268903
nid001377,0,0.267002
nid002657,3,0.273579
nid002060,1,0.270865
nid002945,3,0.27078
nid001380,3,0.271064
nid001377,2,0.267528
nid001381,1,0.266255
nid002653,2,0.269889
nid002060,2,0.269827
nid002949,2,0.273256
nid002952,1,0.271172
nid002949,0,0.272183
nid002061,3,0.269184
nid002945,2,0.26997
nid002657,2,0.269928
nid002657,0,0.274433
nid001380,0,0.269285
nid002061,2,0.270564
nid002952,2,0.269354
nid002657,1,0.273506
nid001381,2,0.268214
nid001380,1,0.268795
nid002064,1,0.271768
nid002660,1,0.270261
nid002952,3,0.270145
nid002057,2,0.273905
nid002064,2,0.271872
nid002944,0,0.272064
nid002948,0,0.271278
nid002945,0,0.272263
nid002949,1,0.273738
nid002948,2,0.271486
nid002656,0,0.272362
nid002944,1,0.273369
nid002952,0,0.272564
nid002948,1,0.275344
nid002057,0,0.275456
nid002660,2,0.273656
nid002653,0,0.277237
nid002948,3,0.273799
nid002656,2,0.276263
nid001380,2,0.275243
nid002660,3,0.275105
nid002064,0,0.274487
nid002749,3,0.265144
nid002373,1,0.264987
nid002344,3,0.268913
nid002749,0,0.26826
nid002356,3,0.270092
nid002344,0,0.271382
nid002661,3,0.269078
nid002528,2,0.271523
nid002368,3,0.270899
nid002040,1,0.269449
nid002608,3,0.265424
nid002024,3,0.271222
nid002344,1,0.270747
nid002329,0,0.271555
nid002608,0,0.272984
nid002661,2,0.26991
nid002661,0,0.274098
nid002024,0,0.272595
nid002749,1,0.267693
nid002608,1,0.271467
nid002040,3,0.271199
nid002661,1,0.275038
nid002344,2,0.274736
nid002352,3,0.273941
nid002024,2,0.272992
nid002368,2,0.272003
nid002040,0,0.271569
nid002024,1,0.274309
nid002528,0,0.27573
nid002608,2,0.272697
nid002053,1,0.268055
nid002329,1,0.271929
nid002352,0,0.271474
nid002329,2,0.268931
nid002352,2,0.27558
nid002040,2,0.269467
nid002356,2,0.273672
nid002373,3,0.269693
nid002640,3,0.270196
nid002368,1,0.2738
nid002061,1,0.268988
nid002316,1,0.269722
nid002053,3,0.269935
nid002061,3,0.269393
nid002316,3,0.269926
nid002368,0,0.270933
nid002329,3,0.271873
nid002053,0,0.270486
nid002061,2,0.270225
nid002528,1,0.271179
nid002356,0,0.271871
nid002352,1,0.271729
nid002640,1,0.272728
nid002316,0,0.272549
nid002749,2,0.272795
nid002053,2,0.273073
nid002061,0,0.27209
nid002528,3,0.273035
nid002373,0,0.274258
nid002316,2,0.273612
nid002373,2,0.273582
nid002640,2,0.276062
nid002356,1,0.276692
nid002640,0,0.273297
nid003241,1,0.265212
nid003248,1,0.267493
nid003241,0,0.268162
nid003801,1,0.267584
nid002125,3,0.268943
nid003248,0,0.269818
nid003801,0,0.268819
nid003249,0,0.270417
nid003768,0,0.265219
nid003001,2,0.269386
nid003001,3,0.269278
nid003801,3,0.266351
nid003241,3,0.27276
nid003864,1,0.271379
nid003676,2,0.273834
nid003000,0,0.267272
nid002124,3,0.267942
nid002125,1,0.271708
nid002124,0,0.274431
nid003676,1,0.268368
nid003864,2,0.270525
nid003001,1,0.272821
nid003244,3,0.268914
nid003676,3,0.27163
nid003244,2,0.269037
nid003252,3,0.269275
nid003800,1,0.269329
nid003252,1,0.269396
nid003768,3,0.26984
nid003000,1,0.269999
nid003765,1,0.270567
nid003252,2,0.274662
nid003800,2,0.273721
nid002124,1,0.270887
nid003801,2,0.272839
nid003001,0,0.272779
nid003249,2,0.277237
nid003244,1,0.27407
nid003248,3,0.269171
nid003677,3,0.270564
nid002125,2,0.271605
nid003000,3,0.271546
nid003800,3,0.271094
nid003248,2,0.269756
nid003249,1,0.271718
nid003864,0,0.27322
nid003244,0,0.272492
nid003768,2,0.272337
