username,correlation,max
user_raydiab,0.9902093713110137,16.0
user_wjz8597,0.9103630184410614,364.0
user_luke0818,0.885005570575623,64.0
user_e3smtest,0.8829138126415386,179.0
user_mlupopa,0.6497402084763814,72.0
user_smhagos,0.6369929900729109,120.0
user_feige,0.6199949778813428,18.0
user_arash,0.5617727560263126,24.0
user_zzhu1,0.5430918219814213,60.0
user_yong,0.5418951385047804,12.0
user_bmourino,0.5271536385246595,16.0
user_junting,0.5098627820929034,4.0
user_mahletm,0.49138031134093163,8.0
user_chtpku,0.4799191040622017,16.0
user_kjw,0.45226725654971356,256.0
user_nesar,0.44884577682460153,2.0
user_orlanooz,0.4241698460597637,6.0
user_rainli,0.4176641861624654,15.0
user_xhu341,0.4131162366175718,12.0
user_munkhw,0.39630472317551274,4.0
user_biwole,0.39021677114379794,24.0
user_anabi,0.3852517291549509,8.0
user_quintj3,0.38227548660795513,22.0
user_kyuen2,0.36864655664524654,32.0
user_jdelmar,0.35117711487066366,288.0
user_ai8,0.3432579105118074,4.0
user_theis,0.3344540713771271,16.0
user_xwzhang,0.3279574481664961,78.0
user_keiden,0.3234266429059243,8.0
user_guangc,0.3154733963779418,12.0
user_selinadi,0.3154618882983846,16.0
user_lmoore75,0.31064069498893315,20.0
user_akbh9606,0.30949660540791857,8.0
user_mahf708,0.30287499154798303,256.0
user_yuxiang,0.30088083883846006,864.0
user_oyeniran,0.2973221112672158,48.0
user_dk4,0.2866541849377328,4.0
user_vwzyu,0.2751996913186239,64.0
user_sijingdu,0.27427700732995425,50.0
user_kilin,0.2663413773962829,14.0
user_yeqing,0.2606466711894946,6.0
user_gkafle1,0.2573246168600972,14.0
user_hass877,0.2507709400041889,16.0
user_tung,0.24984657929667153,16.0
user_ryanliu,0.24747343594759857,20.0
user_rkang,0.24607366380933188,2.0
user_tianshuw,0.23958995011509784,30.0
user_jbub,0.2379234775310733,12.0
user_skw,0.2302334197237168,256.0
user_rhuegli,0.22981808174575996,24.0
user_syuk,-0.22064273217310895,30.0
JobID,-0.21696050987825405,37604632.0
user_schernog,0.20881404432868675,6.0
user_jweber,-0.20702813774514656,320.0
user_jordanib,0.19759647936786923,8.0
user_ehsmith6,0.19118037327571674,18.0
user_raph,0.18523412748774246,12.0
user_inbarsav,0.1764257960489461,56.0
user_mslee,0.17089192169804826,34.0
user_iyadornl,0.16788085711175119,8.0
user_hauschil,-0.16772455136810804,288.0
user_liangbo,0.16375755884160997,8.0
user_zkyuan,0.15774559229927332,16.0
user_vadimr,0.1562774217149541,512.0
user_qinkunli,0.1546429131798436,16.0
user_heehaw,0.15157989634940144,16.0
user_uscms,-0.14739993537401425,300.0
user_lalakos,0.14736274739248129,4.0
user_monojoy,0.1419049936302814,32.0
user_ktangtar,-0.14098794410082952,240.0
user_jiangxc6,0.14093159131036567,14.0
user_avr,0.13942519710498308,12.0
concurrent_nodes_in_same_group,-0.1333450132709836,1047.0
user_aakhan3,-0.133206062469156,30.0
user_darya,0.1272381768825709,8.0
user_taa22,-0.12517860509448864,8.0
num_concurrent_jobs,0.12504193453675722,468.0
user_yxu2,-0.1242218636598033,6.0
user_ejohnson,-0.12255167816904719,24.0
user_yizhiz,-0.1224964974964474,16.0
user_ndk,0.1186385937151496,512.0
user_zambon,-0.11632997982999661,40.0
user_zeynepba,-0.11605665384758883,8.0
user_abaldo,0.11228796685451094,54.0
user_halbuhai,-0.10968929679800736,96.0
user_tajinder,-0.10937803669311025,8.0
user_hftom,-0.1091104245573731,12.0
user_zeyuli,-0.10814756138386124,8.0
user_mconley,-0.10690904945449886,26.0
user_welliao,0.10634422579635959,14.0
user_xzhou473,-0.10618445303835246,32.0
user_klezhnin,0.10497200942070675,48.0
user_joxojo,-0.1037588085979255,2.0
user_zja,-0.10356991415964577,171.0
user_mcg,0.10312814677954334,24.0
